year,team,goals,opponent,type,home_team
1991,TOR,2,MIN,home_team,TOR
1991,ATL,10,PIT,home_team,ATL
1991,TOR,3,MIN,home_team,TOR
1991,ATL,2,PIT,home_team,ATL
1991,TOR,5,MIN,home_team,TOR
1991,ATL,0,PIT,home_team,ATL
1991,PIT,0,ATL,home_team,PIT
1991,PIT,0,ATL,home_team,PIT
1992,ATL,5,PIT,home_team,ATL
1992,ATL,13,PIT,home_team,ATL
1992,TOR,3,OAK,home_team,TOR
1992,TOR,3,OAK,home_team,TOR
1992,PIT,3,ATL,home_team,PIT
1992,PIT,4,ATL,home_team,PIT
1992,OAK,5,TOR,home_team,OAK
1992,PIT,7,ATL,home_team,PIT
1992,OAK,6,TOR,home_team,OAK
1992,OAK,6,TOR,home_team,OAK
1992,ATL,4,PIT,home_team,ATL
1992,ATL,3,PIT,home_team,ATL
1992,TOR,9,OAK,home_team,TOR
1993,CHA,3,TOR,home_team,CHA
1993,PHI,4,ATL,home_team,PHI
1993,CHA,1,TOR,home_team,CHA
1993,PHI,3,ATL,home_team,PHI
1993,TOR,1,CHA,home_team,TOR
1993,ATL,9,PHI,home_team,ATL
1993,TOR,4,CHA,home_team,TOR
1993,ATL,1,PHI,home_team,ATL
1993,TOR,5,CHA,home_team,TOR
1993,ATL,3,PHI,home_team,ATL
1993,CHA,3,TOR,home_team,CHA
1993,PHI,6,ATL,home_team,PHI
1995,CIN,1,ATL,home_team,CIN
1995,SEA,3,CLE,home_team,SEA
1995,CIN,2,ATL,home_team,CIN
1995,SEA,2,CLE,home_team,SEA
1995,ATL,5,CIN,home_team,ATL
1995,CLE,2,SEA,home_team,CLE
1995,ATL,6,CIN,home_team,ATL
1995,CLE,7,SEA,home_team,CLE
1995,CLE,3,SEA,home_team,CLE
1995,SEA,0,CLE,home_team,SEA
1996,ATL,4,SLN,home_team,ATL
1996,NYA,5,BAL,home_team,NYA
1996,ATL,3,SLN,home_team,ATL
1996,NYA,3,BAL,home_team,NYA
1996,BAL,2,NYA,home_team,BAL
1996,SLN,3,ATL,home_team,SLN
1996,BAL,4,NYA,home_team,BAL
1996,SLN,4,ATL,home_team,SLN
1996,BAL,4,NYA,home_team,BAL
1996,SLN,0,ATL,home_team,SLN
1996,ATL,3,SLN,home_team,ATL
1996,ATL,15,SLN,home_team,ATL
1997,ATL,3,FLO,home_team,ATL
1997,ATL,7,FLO,home_team,ATL
1997,BAL,3,CLE,home_team,BAL
1997,BAL,4,CLE,home_team,BAL
1997,FLO,5,ATL,home_team,FLO
1997,FLO,0,ATL,home_team,FLO
1997,CLE,2,BAL,home_team,CLE
1997,FLO,2,ATL,home_team,FLO
1997,CLE,8,BAL,home_team,CLE
1997,CLE,2,BAL,home_team,CLE
1997,ATL,4,FLO,home_team,ATL
1997,BAL,0,CLE,home_team,BAL
1998,NYA,7,CLE,home_team,NYA
1998,NYA,1,CLE,home_team,NYA
1998,ATL,2,SDN,home_team,ATL
1998,ATL,0,SDN,home_team,ATL
1998,CLE,6,NYA,home_team,CLE
1998,CLE,0,NYA,home_team,CLE
1998,SDN,4,ATL,home_team,SDN
1998,CLE,3,NYA,home_team,CLE
1998,SDN,3,ATL,home_team,SDN
1998,SDN,6,ATL,home_team,SDN
1998,NYA,9,CLE,home_team,NYA
1998,ATL,0,SDN,home_team,ATL
1999,ATL,4,NYN,home_team,ATL
1999,NYA,4,BOS,home_team,NYA
1999,ATL,4,NYN,home_team,ATL
1999,NYA,3,BOS,home_team,NYA
1999,NYN,0,ATL,home_team,NYN
1999,BOS,13,NYA,home_team,BOS
1999,NYN,3,ATL,home_team,NYN
1999,BOS,2,NYA,home_team,BOS
1999,NYN,4,ATL,home_team,NYN
1999,BOS,1,NYA,home_team,BOS
1999,ATL,10,NYN,home_team,ATL
2000,NYA,0,SEA,home_team,NYA
2000,SLN,2,NYN,home_team,SLN
2000,NYA,7,SEA,home_team,NYA
2000,SLN,5,NYN,home_team,SLN
2000,SEA,2,NYA,home_team,SEA
2000,NYN,2,SLN,home_team,NYN
2000,SEA,0,NYA,home_team,SEA
2000,NYN,10,SLN,home_team,NYN
2000,SEA,6,NYA,home_team,SEA
2000,NYN,7,SLN,home_team,NYN
2000,NYA,9,SEA,home_team,NYA
2001,ARI,2,ATL,home_team,ARI
2001,SEA,2,NYA,home_team,SEA
2001,ARI,1,ATL,home_team,ARI
2001,SEA,2,NYA,home_team,SEA
2001,ATL,1,ARI,home_team,ATL
2001,NYA,3,SEA,home_team,NYA
2001,ATL,4,ARI,home_team,ATL
2001,NYA,3,SEA,home_team,NYA
2001,ATL,2,ARI,home_team,ATL
2001,NYA,12,SEA,home_team,NYA
2002,MIN,2,ANA,home_team,MIN
2002,MIN,3,ANA,home_team,MIN
2002,SLN,6,SFN,home_team,SLN
2002,SLN,1,SFN,home_team,SLN
2002,ANA,2,MIN,home_team,ANA
2002,ANA,7,MIN,home_team,ANA
2002,SFN,4,SLN,home_team,SFN
2002,ANA,13,MIN,home_team,ANA
2002,SFN,4,SLN,home_team,SFN
2002,SFN,2,SLN,home_team,SFN
2003,CHN,8,FLO,home_team,CHN
2003,NYA,2,BOS,home_team,NYA
2003,CHN,12,FLO,home_team,CHN
2003,NYA,6,BOS,home_team,NYA
2003,FLO,4,CHN,home_team,FLO
2003,BOS,3,NYA,home_team,BOS
2003,FLO,3,CHN,home_team,FLO
2003,FLO,4,CHN,home_team,FLO
2003,BOS,3,NYA,home_team,BOS
2003,BOS,2,NYA,home_team,BOS
2003,CHN,3,FLO,home_team,CHN
2003,NYA,6,BOS,home_team,NYA
2003,CHN,6,FLO,home_team,CHN
2003,NYA,6,BOS,home_team,NYA
2004,NYA,10,BOS,home_team,NYA
2004,SLN,10,HOU,home_team,SLN
2004,NYA,3,BOS,home_team,NYA
2004,SLN,6,HOU,home_team,SLN
2004,HOU,5,SLN,home_team,HOU
2004,BOS,8,NYA,home_team,BOS
2004,HOU,6,SLN,home_team,HOU
2004,BOS,6,NYA,home_team,BOS
2004,HOU,3,SLN,home_team,HOU
2004,BOS,5,NYA,home_team,BOS
2004,NYA,2,BOS,home_team,NYA
2004,SLN,6,HOU,home_team,SLN
2004,NYA,3,BOS,home_team,NYA
2004,SLN,5,HOU,home_team,SLN
2005,CHA,2,ANA,home_team,CHA
2005,CHA,2,ANA,home_team,CHA
2005,SLN,5,HOU,home_team,SLN
2005,SLN,1,HOU,home_team,SLN
2005,ANA,2,CHA,home_team,ANA
2005,ANA,2,CHA,home_team,ANA
2005,HOU,4,SLN,home_team,HOU
2005,ANA,3,CHA,home_team,ANA
2005,HOU,2,SLN,home_team,HOU
2005,HOU,4,SLN,home_team,HOU
2005,SLN,1,HOU,home_team,SLN
2006,OAK,1,DET,home_team,OAK
2006,OAK,5,DET,home_team,OAK
2006,NYN,2,SLN,home_team,NYN
2006,DET,3,OAK,home_team,DET
2006,NYN,6,SLN,home_team,NYN
2006,DET,6,OAK,home_team,DET
2006,SLN,5,NYN,home_team,SLN
2006,SLN,5,NYN,home_team,SLN
2006,SLN,4,NYN,home_team,SLN
2006,NYN,4,SLN,home_team,NYN
2006,NYN,1,SLN,home_team,NYN
2007,ARI,1,COL,home_team,ARI
2007,ARI,2,COL,home_team,ARI
2007,BOS,10,CLE,home_team,BOS
2007,BOS,6,CLE,home_team,BOS
2007,COL,4,ARI,home_team,COL
2007,COL,6,ARI,home_team,COL
2007,CLE,4,BOS,home_team,CLE
2007,CLE,7,BOS,home_team,CLE
2007,CLE,1,BOS,home_team,CLE
2007,BOS,12,CLE,home_team,BOS
2007,BOS,11,CLE,home_team,BOS
2008,PHI,3,LAN,home_team,PHI
2008,PHI,8,LAN,home_team,PHI
2008,TBA,0,BOS,home_team,TBA
2008,TBA,9,BOS,home_team,TBA
2008,LAN,7,PHI,home_team,LAN
2008,LAN,5,PHI,home_team,LAN
2008,BOS,1,TBA,home_team,BOS
2008,BOS,4,TBA,home_team,BOS
2008,LAN,1,PHI,home_team,LAN
2008,BOS,8,TBA,home_team,BOS
2008,TBA,2,BOS,home_team,TBA
2008,TBA,3,BOS,home_team,TBA
2009,LAN,6,PHI,home_team,LAN
2009,LAN,2,PHI,home_team,LAN
2009,NYA,4,ANA,home_team,NYA
2009,NYA,4,ANA,home_team,NYA
2009,PHI,11,LAN,home_team,PHI
2009,PHI,5,LAN,home_team,PHI
2009,ANA,5,NYA,home_team,ANA
2009,ANA,1,NYA,home_team,ANA
2009,PHI,10,LAN,home_team,PHI
2009,ANA,7,NYA,home_team,ANA
2009,NYA,5,ANA,home_team,NYA
2010,TEX,5,NYA,home_team,TEX
2010,TEX,7,NYA,home_team,TEX
2010,PHI,3,SFN,home_team,PHI
2010,PHI,6,SFN,home_team,PHI
2010,NYA,0,TEX,home_team,NYA
2010,NYA,3,TEX,home_team,NYA
2010,SFN,3,PHI,home_team,SFN
2010,NYA,7,TEX,home_team,NYA
2010,SFN,6,PHI,home_team,SFN
2010,SFN,2,PHI,home_team,SFN
2010,TEX,6,NYA,home_team,TEX
2010,PHI,2,SFN,home_team,PHI
2011,TEX,3,DET,home_team,TEX
2011,MIL,9,SLN,home_team,MIL
2011,MIL,3,SLN,home_team,MIL
2011,TEX,7,DET,home_team,TEX
2011,DET,5,TEX,home_team,DET
2011,SLN,4,MIL,home_team,SLN
2011,DET,3,TEX,home_team,DET
2011,SLN,2,MIL,home_team,SLN
2011,DET,7,TEX,home_team,DET
2011,SLN,7,MIL,home_team,SLN
2011,TEX,15,DET,home_team,TEX
2011,MIL,6,SLN,home_team,MIL
2012,NYA,4,DET,home_team,NYA
2012,NYA,0,DET,home_team,NYA
2012,SFN,4,SLN,home_team,SFN
2012,SFN,7,SLN,home_team,SFN
2012,DET,2,NYA,home_team,DET
2012,SLN,3,SFN,home_team,SLN
2012,DET,8,NYA,home_team,DET
2012,SLN,8,SFN,home_team,SLN
2012,SLN,0,SFN,home_team,SLN
2012,SFN,6,SLN,home_team,SFN
2012,SFN,9,SLN,home_team,SFN
2013,SLN,3,LAN,home_team,SLN
2013,BOS,0,DET,home_team,BOS
2013,SLN,1,LAN,home_team,SLN
2013,BOS,6,DET,home_team,BOS
2013,LAN,3,SLN,home_team,LAN
2013,DET,0,BOS,home_team,DET
2013,LAN,2,SLN,home_team,LAN
2013,DET,7,BOS,home_team,DET
2013,LAN,6,SLN,home_team,LAN
2013,DET,3,BOS,home_team,DET
2013,SLN,9,LAN,home_team,SLN
2013,BOS,5,DET,home_team,BOS
2014,BAL,6,KCA,home_team,BAL
2014,BAL,4,KCA,home_team,BAL
2014,SLN,0,SFN,home_team,SLN
2014,SLN,5,SFN,home_team,SLN
2014,KCA,2,BAL,home_team,KCA
2014,SFN,5,SLN,home_team,SFN
2014,KCA,2,BAL,home_team,KCA
2014,SFN,6,SLN,home_team,SFN
2014,SFN,6,SLN,home_team,SFN
2015,KCA,5,TOR,home_team,KCA
2015,KCA,6,TOR,home_team,KCA
2015,NYN,4,CHN,home_team,NYN
2015,NYN,4,CHN,home_team,NYN
2015,TOR,11,KCA,home_team,TOR
2015,TOR,2,KCA,home_team,TOR
2015,CHN,2,NYN,home_team,CHN
2015,TOR,7,KCA,home_team,TOR
2015,CHN,3,NYN,home_team,CHN
2015,KCA,4,TOR,home_team,KCA
2016,CLE,2,TOR,home_team,CLE
2016,CLE,2,TOR,home_team,CLE
2016,CHN,8,LAN,home_team,CHN
2016,CHN,0,LAN,home_team,CHN
2016,TOR,2,CLE,home_team,TOR
2016,TOR,5,CLE,home_team,TOR
2016,LAN,6,CHN,home_team,LAN
2016,TOR,0,CLE,home_team,TOR
2016,LAN,2,CHN,home_team,LAN
2016,LAN,4,CHN,home_team,LAN
2016,CHN,5,LAN,home_team,CHN
2017,HOU,2,NYA,home_team,HOU
2017,LAN,5,CHN,home_team,LAN
2017,HOU,2,NYA,home_team,HOU
2017,LAN,4,CHN,home_team,LAN
2017,NYA,8,HOU,home_team,NYA
2017,CHN,1,LAN,home_team,CHN
2017,NYA,6,HOU,home_team,NYA
2017,CHN,3,LAN,home_team,CHN
2017,NYA,5,HOU,home_team,NYA
2017,CHN,1,LAN,home_team,CHN
2017,HOU,7,NYA,home_team,HOU
2017,HOU,4,NYA,home_team,HOU
2012,TEX,1,BAL,home_team,TEX
2012,ATL,3,SLN,home_team,ATL
2013,PIT,6,CIN,home_team,PIT
2013,CLE,0,TBA,home_team,CLE
2014,KCA,9,OAK,home_team,KCA
2014,PIT,0,SFN,home_team,PIT
2015,NYA,0,HOU,home_team,NYA
2015,PIT,0,CHN,home_team,PIT
2016,TOR,5,BAL,home_team,TOR
2016,NYN,0,SFN,home_team,NYN
2017,NYA,8,MIN,home_team,NYA
2017,ARI,11,COL,home_team,ARI
1903,BOS,3,PIT,home_team,BOS
1903,BOS,3,PIT,home_team,BOS
1903,BOS,2,PIT,home_team,BOS
1903,PIT,5,BOS,home_team,PIT
1903,PIT,2,BOS,home_team,PIT
1903,PIT,3,BOS,home_team,PIT
1903,PIT,3,BOS,home_team,PIT
1903,BOS,3,PIT,home_team,BOS
1905,PHA,0,NY1,home_team,PHA
1905,NY1,0,PHA,home_team,NY1
1905,PHA,0,NY1,home_team,PHA
1905,NY1,1,PHA,home_team,NY1
1905,NY1,2,PHA,home_team,NY1
1906,CHN,1,CHA,home_team,CHN
1906,CHA,1,CHN,home_team,CHA
1906,CHN,0,CHA,home_team,CHN
1906,CHA,0,CHN,home_team,CHA
1906,CHN,6,CHA,home_team,CHN
1906,CHA,8,CHN,home_team,CHA
1907,CHN,3,DET,home_team,CHN
1907,CHN,3,DET,home_team,CHN
1907,CHN,5,DET,home_team,CHN
1907,DET,1,CHN,home_team,DET
1907,DET,0,CHN,home_team,DET
1908,DET,6,CHN,home_team,DET
1908,CHN,6,DET,home_team,CHN
1908,CHN,3,DET,home_team,CHN
1908,DET,0,CHN,home_team,DET
1908,DET,0,CHN,home_team,DET
1909,PIT,4,DET,home_team,PIT
1909,PIT,2,DET,home_team,PIT
1909,DET,6,PIT,home_team,DET
1909,DET,5,PIT,home_team,DET
1909,PIT,8,DET,home_team,PIT
1909,DET,5,PIT,home_team,DET
1909,DET,0,PIT,home_team,DET
1910,PHA,4,CHN,home_team,PHA
1910,PHA,9,CHN,home_team,PHA
1910,CHN,5,PHA,home_team,CHN
1910,CHN,4,PHA,home_team,CHN
1910,CHN,2,PHA,home_team,CHN
1911,NY1,2,PHA,home_team,NY1
1911,PHA,3,NY1,home_team,PHA
1911,NY1,2,PHA,home_team,NY1
1911,PHA,4,NY1,home_team,PHA
1911,NY1,4,PHA,home_team,NY1
1911,PHA,13,NY1,home_team,PHA
1912,NY1,3,BOS,home_team,NY1
1912,BOS,6,NY1,home_team,BOS
1912,BOS,1,NY1,home_team,BOS
1912,NY1,1,BOS,home_team,NY1
1912,BOS,2,NY1,home_team,BOS
1912,NY1,5,BOS,home_team,NY1
1912,BOS,4,NY1,home_team,BOS
1912,BOS,3,NY1,home_team,BOS
1913,NY1,4,PHA,home_team,NY1
1913,PHA,0,NY1,home_team,PHA
1913,NY1,2,PHA,home_team,NY1
1913,PHA,6,NY1,home_team,PHA
1913,NY1,1,PHA,home_team,NY1
1914,PHA,1,BSN,home_team,PHA
1914,PHA,0,BSN,home_team,PHA
1914,BSN,5,PHA,home_team,BSN
1914,BSN,3,PHA,home_team,BSN
1915,PHI,3,BOS,home_team,PHI
1915,PHI,1,BOS,home_team,PHI
1915,BOS,2,PHI,home_team,BOS
1915,BOS,2,PHI,home_team,BOS
1915,PHI,4,BOS,home_team,PHI
1916,BOS,6,BRO,home_team,BOS
1916,BOS,2,BRO,home_team,BOS
1916,BRO,4,BOS,home_team,BRO
1916,BRO,2,BOS,home_team,BRO
1916,BOS,4,BRO,home_team,BOS
1917,CHA,2,NY1,home_team,CHA
1917,CHA,7,NY1,home_team,CHA
1917,NY1,2,CHA,home_team,NY1
1917,NY1,5,CHA,home_team,NY1
1917,CHA,8,NY1,home_team,CHA
1917,NY1,2,CHA,home_team,NY1
1918,CHN,0,BOS,home_team,CHN
1918,CHN,3,BOS,home_team,CHN
1918,CHN,1,BOS,home_team,CHN
1918,BOS,3,CHN,home_team,BOS
1918,BOS,0,CHN,home_team,BOS
1918,BOS,2,CHN,home_team,BOS
1919,CIN,9,CHA,home_team,CIN
1919,CIN,4,CHA,home_team,CIN
1919,CHA,3,CIN,home_team,CHA
1919,CHA,0,CIN,home_team,CHA
1919,CHA,0,CIN,home_team,CHA
1919,CIN,4,CHA,home_team,CIN
1919,CIN,1,CHA,home_team,CIN
1919,CHA,5,CIN,home_team,CHA
1920,BRO,1,CLE,home_team,BRO
1920,BRO,3,CLE,home_team,BRO
1920,BRO,2,CLE,home_team,BRO
1920,CLE,5,BRO,home_team,CLE
1920,CLE,8,BRO,home_team,CLE
1920,CLE,1,BRO,home_team,CLE
1920,CLE,3,BRO,home_team,CLE
1921,NY1,0,NYA,home_team,NY1
1921,NYA,3,NY1,home_team,NYA
1921,NY1,13,NYA,home_team,NY1
1921,NYA,2,NY1,home_team,NYA
1921,NY1,1,NYA,home_team,NY1
1921,NYA,5,NY1,home_team,NYA
1921,NY1,2,NYA,home_team,NY1
1921,NYA,0,NY1,home_team,NYA
1922,NY1,3,NYA,home_team,NY1
1922,NYA,3,NY1,home_team,NYA
1922,NY1,3,NYA,home_team,NY1
1922,NYA,3,NY1,home_team,NYA
1922,NY1,5,NYA,home_team,NY1
1923,NYA,4,NY1,home_team,NYA
1923,NY1,2,NYA,home_team,NY1
1923,NYA,0,NY1,home_team,NYA
1923,NY1,4,NYA,home_team,NY1
1923,NYA,8,NY1,home_team,NYA
1923,NY1,4,NYA,home_team,NY1
1924,WS1,3,NY1,home_team,WS1
1924,WS1,4,NY1,home_team,WS1
1924,NY1,6,WS1,home_team,NY1
1924,NY1,4,WS1,home_team,NY1
1924,NY1,6,WS1,home_team,NY1
1924,WS1,2,NY1,home_team,WS1
1924,WS1,4,NY1,home_team,WS1
1925,PIT,1,WS1,home_team,PIT
1925,PIT,3,WS1,home_team,PIT
1925,WS1,4,PIT,home_team,WS1
1925,WS1,4,PIT,home_team,WS1
1925,WS1,3,PIT,home_team,WS1
1925,PIT,3,WS1,home_team,PIT
1925,PIT,9,WS1,home_team,PIT
1926,NYA,2,SLN,home_team,NYA
1926,NYA,2,SLN,home_team,NYA
1926,SLN,4,NYA,home_team,SLN
1926,SLN,5,NYA,home_team,SLN
1926,SLN,2,NYA,home_team,SLN
1926,NYA,2,SLN,home_team,NYA
1926,NYA,2,SLN,home_team,NYA
1927,PIT,4,NYA,home_team,PIT
1927,PIT,2,NYA,home_team,PIT
1927,NYA,8,PIT,home_team,NYA
1927,NYA,4,PIT,home_team,NYA
1928,NYA,4,SLN,home_team,NYA
1928,NYA,9,SLN,home_team,NYA
1928,SLN,3,NYA,home_team,SLN
1928,SLN,3,NYA,home_team,SLN
1929,CHN,1,PHA,home_team,CHN
1929,CHN,3,PHA,home_team,CHN
1929,PHA,1,CHN,home_team,PHA
1929,PHA,10,CHN,home_team,PHA
1929,PHA,3,CHN,home_team,PHA
1930,PHA,5,SLN,home_team,PHA
1930,PHA,6,SLN,home_team,PHA
1930,SLN,5,PHA,home_team,SLN
1930,SLN,3,PHA,home_team,SLN
1930,SLN,0,PHA,home_team,SLN
1930,PHA,7,SLN,home_team,PHA
1931,SLN,2,PHA,home_team,SLN
1931,SLN,2,PHA,home_team,SLN
1931,PHA,2,SLN,home_team,PHA
1931,PHA,3,SLN,home_team,PHA
1931,PHA,1,SLN,home_team,PHA
1931,SLN,1,PHA,home_team,SLN
1931,SLN,4,PHA,home_team,SLN
1932,NYA,12,CHN,home_team,NYA
1932,NYA,5,CHN,home_team,NYA
1932,CHN,5,NYA,home_team,CHN
1932,CHN,6,NYA,home_team,CHN
1933,NY1,4,WS1,home_team,NY1
1933,NY1,6,WS1,home_team,NY1
1933,WS1,4,NY1,home_team,WS1
1933,WS1,1,NY1,home_team,WS1
1933,WS1,3,NY1,home_team,WS1
1934,DET,3,SLN,home_team,DET
1934,DET,3,SLN,home_team,DET
1934,SLN,4,DET,home_team,SLN
1934,SLN,4,DET,home_team,SLN
1934,SLN,1,DET,home_team,SLN
1934,DET,3,SLN,home_team,DET
1934,DET,0,SLN,home_team,DET
1935,DET,0,CHN,home_team,DET
1935,DET,8,CHN,home_team,DET
1935,CHN,5,DET,home_team,CHN
1935,CHN,1,DET,home_team,CHN
1935,CHN,3,DET,home_team,CHN
1935,DET,4,CHN,home_team,DET
1936,NY1,6,NYA,home_team,NY1
1936,NY1,4,NYA,home_team,NY1
1936,NYA,2,NY1,home_team,NYA
1936,NYA,5,NY1,home_team,NYA
1936,NYA,4,NY1,home_team,NYA
1936,NY1,5,NYA,home_team,NY1
1937,NYA,8,NY1,home_team,NYA
1937,NYA,8,NY1,home_team,NYA
1937,NY1,1,NYA,home_team,NY1
1937,NY1,7,NYA,home_team,NY1
1937,NY1,2,NYA,home_team,NY1
1938,CHN,1,NYA,home_team,CHN
1938,CHN,3,NYA,home_team,CHN
1938,NYA,5,CHN,home_team,NYA
1938,NYA,8,CHN,home_team,NYA
1939,NYA,2,CIN,home_team,NYA
1939,NYA,4,CIN,home_team,NYA
1939,CIN,3,NYA,home_team,CIN
1939,CIN,4,NYA,home_team,CIN
1940,CIN,2,DET,home_team,CIN
1940,CIN,5,DET,home_team,CIN
1940,DET,7,CIN,home_team,DET
1940,DET,2,CIN,home_team,DET
1940,DET,8,CIN,home_team,DET
1940,CIN,4,DET,home_team,CIN
1940,CIN,2,DET,home_team,CIN
1941,NYA,3,BRO,home_team,NYA
1941,NYA,2,BRO,home_team,NYA
1941,BRO,1,NYA,home_team,BRO
1941,BRO,4,NYA,home_team,BRO
1941,BRO,1,NYA,home_team,BRO
1942,SLN,4,NYA,home_team,SLN
1942,SLN,4,NYA,home_team,SLN
1942,NYA,0,SLN,home_team,NYA
1942,NYA,6,SLN,home_team,NYA
1942,NYA,2,SLN,home_team,NYA
1943,NYA,4,SLN,home_team,NYA
1943,NYA,3,SLN,home_team,NYA
1943,NYA,6,SLN,home_team,NYA
1943,SLN,1,NYA,home_team,SLN
1943,SLN,0,NYA,home_team,SLN
1944,SLN,1,SLA,home_team,SLN
1944,SLN,3,SLA,home_team,SLN
1944,SLA,6,SLN,home_team,SLA
1944,SLA,1,SLN,home_team,SLA
1944,SLA,0,SLN,home_team,SLA
1944,SLN,3,SLA,home_team,SLN
1945,DET,0,CHN,home_team,DET
1945,DET,4,CHN,home_team,DET
1945,DET,0,CHN,home_team,DET
1945,CHN,1,DET,home_team,CHN
1945,CHN,4,DET,home_team,CHN
1945,CHN,8,DET,home_team,CHN
1945,CHN,3,DET,home_team,CHN
1946,SLN,2,BOS,home_team,SLN
1946,SLN,3,BOS,home_team,SLN
1946,BOS,4,SLN,home_team,BOS
1946,BOS,3,SLN,home_team,BOS
1946,BOS,6,SLN,home_team,BOS
1946,SLN,4,BOS,home_team,SLN
1946,SLN,4,BOS,home_team,SLN
1947,NYA,5,BRO,home_team,NYA
1947,NYA,10,BRO,home_team,NYA
1947,BRO,9,NYA,home_team,BRO
1947,BRO,3,NYA,home_team,BRO
1947,BRO,1,NYA,home_team,BRO
1947,NYA,6,BRO,home_team,NYA
1947,NYA,5,BRO,home_team,NYA
1948,BSN,1,CLE,home_team,BSN
1948,BSN,1,CLE,home_team,BSN
1948,CLE,2,BSN,home_team,CLE
1948,CLE,2,BSN,home_team,CLE
1948,CLE,5,BSN,home_team,CLE
1948,BSN,3,CLE,home_team,BSN
1949,NYA,1,BRO,home_team,NYA
1949,NYA,0,BRO,home_team,NYA
1949,BRO,3,NYA,home_team,BRO
1949,BRO,4,NYA,home_team,BRO
1949,BRO,6,NYA,home_team,BRO
1950,PHI,0,NYA,home_team,PHI
1950,PHI,1,NYA,home_team,PHI
1950,NYA,3,PHI,home_team,NYA
1950,NYA,5,PHI,home_team,NYA
1951,NYA,1,NY1,home_team,NYA
1951,NYA,3,NY1,home_team,NYA
1951,NY1,6,NYA,home_team,NY1
1951,NY1,2,NYA,home_team,NY1
1951,NY1,1,NYA,home_team,NY1
1951,NYA,4,NY1,home_team,NYA
1952,BRO,4,NYA,home_team,BRO
1952,BRO,1,NYA,home_team,BRO
1952,NYA,3,BRO,home_team,NYA
1952,NYA,2,BRO,home_team,NYA
1952,NYA,5,BRO,home_team,NYA
1952,BRO,2,NYA,home_team,BRO
1952,BRO,2,NYA,home_team,BRO
1953,NYA,9,BRO,home_team,NYA
1953,NYA,4,BRO,home_team,NYA
1953,BRO,3,NYA,home_team,BRO
1953,BRO,7,NYA,home_team,BRO
1953,BRO,7,NYA,home_team,BRO
1953,NYA,4,BRO,home_team,NYA
1954,NY1,5,CLE,home_team,NY1
1954,NY1,3,CLE,home_team,NY1
1954,CLE,2,NY1,home_team,CLE
1954,CLE,4,NY1,home_team,CLE
1955,NYA,6,BRO,home_team,NYA
1955,NYA,4,BRO,home_team,NYA
1955,BRO,8,NYA,home_team,BRO
1955,BRO,8,NYA,home_team,BRO
1955,BRO,5,NYA,home_team,BRO
1955,NYA,5,BRO,home_team,NYA
1955,NYA,0,BRO,home_team,NYA
1956,BRO,6,NYA,home_team,BRO
1956,BRO,13,NYA,home_team,BRO
1956,NYA,5,BRO,home_team,NYA
1956,NYA,6,BRO,home_team,NYA
1956,NYA,2,BRO,home_team,NYA
1956,BRO,1,NYA,home_team,BRO
1956,BRO,0,NYA,home_team,BRO
1957,NYA,3,MLN,home_team,NYA
1957,NYA,2,MLN,home_team,NYA
1957,MLN,3,NYA,home_team,MLN
1957,MLN,7,NYA,home_team,MLN
1957,MLN,1,NYA,home_team,MLN
1957,NYA,3,MLN,home_team,NYA
1957,NYA,0,MLN,home_team,NYA
1958,MLN,4,NYA,home_team,MLN
1958,MLN,13,NYA,home_team,MLN
1958,NYA,4,MLN,home_team,NYA
1958,NYA,0,MLN,home_team,NYA
1958,NYA,7,MLN,home_team,NYA
1958,MLN,3,NYA,home_team,MLN
1958,MLN,2,NYA,home_team,MLN
1959,CHA,11,LAN,home_team,CHA
1959,CHA,3,LAN,home_team,CHA
1959,LAN,3,CHA,home_team,LAN
1959,LAN,5,CHA,home_team,LAN
1959,LAN,0,CHA,home_team,LAN
1959,CHA,3,LAN,home_team,CHA
1960,PIT,6,NYA,home_team,PIT
1960,PIT,3,NYA,home_team,PIT
1960,NYA,10,PIT,home_team,NYA
1960,NYA,2,PIT,home_team,NYA
1960,NYA,2,PIT,home_team,NYA
1960,PIT,0,NYA,home_team,PIT
1960,PIT,10,NYA,home_team,PIT
1961,NYA,2,CIN,home_team,NYA
1961,NYA,2,CIN,home_team,NYA
1961,CIN,2,NYA,home_team,CIN
1961,CIN,0,NYA,home_team,CIN
1961,CIN,5,NYA,home_team,CIN
1962,SFN,2,NYA,home_team,SFN
1962,SFN,2,NYA,home_team,SFN
1962,NYA,3,SFN,home_team,NYA
1962,NYA,3,SFN,home_team,NYA
1962,NYA,5,SFN,home_team,NYA
1962,SFN,5,NYA,home_team,SFN
1962,SFN,0,NYA,home_team,SFN
1963,NYA,2,LAN,home_team,NYA
1963,NYA,1,LAN,home_team,NYA
1963,LAN,1,NYA,home_team,LAN
1963,LAN,2,NYA,home_team,LAN
1964,SLN,9,NYA,home_team,SLN
1964,SLN,3,NYA,home_team,SLN
1964,NYA,2,SLN,home_team,NYA
1964,NYA,3,SLN,home_team,NYA
1964,NYA,2,SLN,home_team,NYA
1964,SLN,3,NYA,home_team,SLN
1964,SLN,7,NYA,home_team,SLN
1965,MIN,8,LAN,home_team,MIN
1965,MIN,5,LAN,home_team,MIN
1965,LAN,4,MIN,home_team,LAN
1965,LAN,7,MIN,home_team,LAN
1965,LAN,7,MIN,home_team,LAN
