year,key_team,win,loss,goals_for,goals_against
1977,ALS,0,1,5,7
1977,KCA,2,3,22,21
1977,LAN,5,5,50,40
1977,NLS,1,0,7,5
1977,NYA,7,4,47,50
1977,PHI,1,3,14,22
1978,ALS,0,1,3,7
1978,KCA,1,3,17,19
1978,LAN,5,5,44,53
1978,NLS,1,0,7,3
1978,NYA,7,3,55,40
1978,PHI,1,3,17,21
1979,ALS,0,1,6,7
1979,BAL,6,5,52,47
1979,CAL,1,3,15,26
1979,CIN,0,3,5,15
1979,NLS,1,0,7,6
1979,PIT,7,3,47,31
1980,ALS,0,1,2,4
1980,HOU,2,3,19,20
1980,KCA,5,4,37,33
1980,NLS,1,0,4,2
1980,NYA,0,3,6,14
1980,PHI,7,4,47,42
1981,ALS,0,1,4,5
1981,HOU,2,3,6,13
1981,KCA,0,3,2,10
1981,LAN,10,6,55,38
1981,MIL,2,3,13,19
1981,MON,5,5,26,29
1981,NLS,1,0,5,4
1981,NYA,8,6,61,44
1981,OAK,3,3,14,22
1981,PHI,2,3,14,16
1982,ALS,0,1,1,4
1982,ATL,0,3,5,17
1982,CAL,2,3,23,23
1982,MIL,6,6,56,62
1982,NLS,1,0,4,1
1982,SLN,7,3,56,38
1983,ALS,1,0,13,3
1983,BAL,7,2,37,12
1983,CHA,1,3,3,19
1983,LAN,1,3,8,16
1983,NLS,0,1,3,13
1983,PHI,4,5,25,26
1984,ALS,0,1,1,3
1984,CHN,2,3,26,22
1984,DET,7,1,37,19
1984,KCA,0,3,4,14
1984,NLS,1,0,3,1
1984,SDN,4,6,37,49
1985,ALS,0,1,1,6
1985,KCA,8,6,54,38
1985,LAN,2,4,23,29
1985,NLS,1,0,6,1
1985,SLN,7,6,42,51
1985,TOR,3,4,25,26
1986,ALS,1,0,3,2
1986,BOS,7,7,68,62
1986,CAL,3,4,30,41
1986,HOU,2,4,17,21
1986,NLS,0,1,2,3
1986,NYN,8,5,53,44
1987,ALS,0,1,0,2
1987,DET,1,4,23,34
1987,MIN,8,4,72,49
1987,NLS,1,0,2,0
1987,SFN,3,4,23,23
1987,SLN,7,7,49,61
1988,ALS,1,0,2,1
1988,BOS,0,4,11,20
1988,LAN,8,4,52,38
1988,NLS,0,1,1,2
1988,NYN,3,4,27,31
1988,OAK,5,4,31,32
1989,ALS,1,0,5,3
1989,CHN,1,4,22,30
1989,NLS,0,1,3,5
1989,OAK,8,1,58,35
1989,SFN,4,5,44,54
1989,TOR,1,4,21,26
1990,ALS,1,0,2,0
1990,BOS,0,4,4,20
1990,CIN,8,2,42,23
1990,NLS,0,1,0,2
1990,OAK,4,4,28,26
1990,PIT,2,4,15,20
1991,ALS,1,0,4,2
1991,ATL,7,7,48,36
1991,MIN,8,4,51,48
1991,NLS,0,1,2,4
1991,PIT,3,4,12,19
1991,TOR,1,4,19,27
1992,ALS,1,0,13,6
1992,ATL,6,7,54,52
1992,NLS,0,1,6,13
1992,OAK,2,4,24,31
1992,PIT,3,4,35,34
1992,TOR,8,4,48,44
1993,ALS,1,0,9,3
1993,ATL,2,4,33,23
1993,CHA,2,4,23,26
1993,NLS,0,1,3,9
1993,PHI,6,6,59,78
1993,TOR,8,4,71,59
1994,ALS,0,1,7,8
1994,NLS,1,0,8,7
1995,ALS,0,1,2,3
1995,ATL,11,3,69,43
1995,BOS,0,3,6,17
1995,CIN,3,4,27,26
1995,CLE,9,6,59,41
1995,COL,1,3,19,27
1995,LAN,0,3,7,22
1995,NLS,1,0,3,2
1995,NYA,2,3,33,35
1995,SEA,5,6,47,56
1996,ALS,0,1,0,6
1996,ATL,9,7,80,41
1996,BAL,4,5,44,47
1996,CLE,1,3,20,25
1996,LAN,0,3,5,10
1996,NLS,1,0,6,0
1996,NYA,11,4,61,61
1996,SDN,0,3,10,15
1996,SLN,6,4,33,54
1996,TEX,1,3,16,16
1997,ALS,1,0,3,1
1997,ATL,5,4,40,25
1997,BAL,5,5,42,29
1997,CLE,10,8,83,80
1997,FLO,11,5,72,74
1997,HOU,0,3,5,19
1997,NLS,0,1,1,3
1997,NYA,2,3,24,21
1997,SEA,1,3,11,23
1997,SFN,0,3,9,15
1998,ALS,1,0,13,8
1998,ATL,5,4,33,28
1998,BOS,1,3,20,18
1998,CHN,0,3,4,15
1998,CLE,5,5,38,47
1998,HOU,1,3,8,14
1998,NLS,0,1,8,13
1998,NYA,11,2,62,34
1998,SDN,7,7,51,52
1998,TEX,0,3,1,9
1999,ALS,1,0,4,1
1999,ARI,1,3,16,22
1999,ATL,7,7,51,57
1999,BOS,4,6,68,55
1999,CLE,2,3,32,47
1999,HOU,1,3,15,18
1999,NLS,0,1,1,4
1999,NYA,11,1,58,31
1999,NYN,5,5,43,40
1999,TEX,0,3,1,14
2000,ALS,1,0,6,3
2000,ATL,0,3,10,24
2000,CHA,0,3,7,14
2000,NLS,0,1,3,6
2000,NYA,11,5,69,57
2000,NYN,8,6,60,51
2000,OAK,2,3,23,19
2000,SEA,5,4,32,38
